Date,Ticker,Ret
2024-07-01,Strategy,
2024-07-02,Strategy,0.0
2024-07-03,Strategy,-0.0
2024-07-05,Strategy,0.0
2024-07-08,Strategy,-0.0
2024-07-09,Strategy,0.0
2024-07-10,Strategy,0.0
2024-07-11,Strategy,0.0
2024-07-12,Strategy,0.0
2024-07-15,Strategy,0.0
2024-07-16,Strategy,0.0
2024-07-17,Strategy,0.0
2024-07-18,Strategy,-0.0
2024-07-19,Strategy,0.0
2024-07-22,Strategy,0.0
2024-07-23,Strategy,-0.0
2024-07-24,Strategy,-0.0
2024-07-25,Strategy,-0.0
2024-07-26,Strategy,0.0
2024-07-29,Strategy,0.0
2024-07-30,Strategy,0.0
2024-07-31,Strategy,-0.0
2024-08-01,Strategy,0.0
2024-08-02,Strategy,-0.003
2024-08-05,Strategy,0.0248428930295475
2024-08-06,Strategy,-0.020732695692617802
2024-08-07,Strategy,0.003982934549560884
2024-08-08,Strategy,-0.002008102757093338
2024-08-09,Strategy,-0.006581877832593291
2024-08-12,Strategy,0.009364813056816048
2024-08-13,Strategy,-0.002873488966344555
2024-08-14,Strategy,-0.004319056105732386
2024-08-15,Strategy,0.0042106071949424475
2024-08-16,Strategy,0.0029307731027297724
2024-08-19,Strategy,-0.010285078349274586
2024-08-20,Strategy,-0.0025210050841416596
2024-08-21,Strategy,-0.005498353790348326
2024-08-22,Strategy,0.0013799806491054105
2024-08-23,Strategy,-0.00815141859735118
2024-08-26,Strategy,0.004637187821964274
2024-08-27,Strategy,-0.001283321286957883
2024-08-28,Strategy,-0.006511505879837636
2024-08-29,Strategy,0.0013172671166982357
2024-08-30,Strategy,-0.014401559157661973
2024-09-03,Strategy,0.00040578143863117654
2024-09-04,Strategy,-0.006804801249732085
2024-09-05,Strategy,-0.006309630721782647
2024-09-06,Strategy,0.008782995563218675
2024-09-09,Strategy,-0.02284333520499086
2024-09-10,Strategy,-0.013782081269405916
2024-09-11,Strategy,0.008929532590284235
2024-09-12,Strategy,-0.006683502392509973
2024-09-13,Strategy,-0.004379168857446583
