Date,Spread,Z_score,Signal
2021-01-04,3.312857495902091,,0
2021-01-05,3.2828442826581545,,0
2021-01-06,3.2867306109453214,,0
2021-01-07,3.2413196370582966,,0
2021-01-08,3.2321453047710387,,0
2021-01-11,3.204770295186508,,0
2021-01-12,3.19729609053696,,0
2021-01-13,3.2033114846730895,,0
2021-01-14,3.1819606931045676,,0
2021-01-15,3.224364005598048,,0
2021-01-19,3.218744336997859,,0
2021-01-20,3.214444688670004,,0
2021-01-21,3.2164601094723224,,0
2021-01-22,3.2169025502457327,,0
2021-01-25,3.2354747656485445,,0
2021-01-26,3.2480790265519324,,0
2021-01-27,3.250343123404202,,0
2021-01-28,3.2202628830023707,,0
2021-01-29,3.233545166273883,,0
2021-02-01,3.2290445295033443,,0
2021-02-02,3.2242271984698903,,0
2021-02-03,3.193804437511668,,0
2021-02-04,3.2075073534294707,-0.705405292920115,0
2021-02-05,3.2001789826265057,-0.9461669877565541,0
2021-02-08,3.187267563013493,-1.4087382478285044,0
2021-02-09,3.1967913776219063,-1.0348836732548163,0
2021-02-10,3.2185651417123573,0.170696396499542,0
2021-02-11,3.21767881931048,0.15969042211971943,0
2021-02-12,3.2135288154958475,-0.09472721292557099,0
2021-02-16,3.205087761157814,-0.5996975729686952,0
2021-02-17,3.214396923878741,-0.09465689055448022,0
2021-02-18,3.232913468712595,0.9236240250729195,0
2021-02-19,3.2361098321848916,1.0665460490520653,0
2021-02-22,3.1793620871740487,-2.0671813750661516,1
2021-02-23,3.177506986695405,-1.8957611443321667,1
2021-02-24,3.1574545854357012,-2.3711998563706453,1
2021-02-25,3.1577355299441567,-2.0205973151515297,1
2021-02-26,3.1237768100431382,-2.6309274105047584,1
2021-03-01,3.125636966855664,-2.205232899238778,1
2021-03-02,3.14470848344516,-1.5027118882631783,1
2021-03-03,3.155969961054314,-1.0707145141422219,1
2021-03-04,3.149093531026673,-1.1656689379469385,1
2021-03-05,3.1685445458513932,-0.5356471071723418,1
2021-03-08,3.1680907100079994,-0.4885408461433686,1
2021-03-09,3.147564732048461,-1.0326559246750846,1
2021-03-10,3.1543779877926665,-0.7590819503445775,1
2021-03-11,3.1464340266801964,-0.9169697061512748,1
2021-03-12,3.1600567208468657,-0.47595666559369043,1
2021-03-15,3.1873521085633048,0.34568026477062525,1
2021-03-16,3.2006114470739915,0.7831483388918746,1
2021-03-17,3.1845185562583636,0.34934918167469897,1
2021-03-18,3.210205911347037,1.176338552014557,1
2021-03-19,3.217951227022083,1.3751122587026678,1
2021-03-22,3.2153329745796615,1.2898655768904752,1
2021-03-23,3.226055530636357,1.6618177810916224,1
2021-03-24,3.2373198627685715,2.010496759840352,-1
2021-03-25,3.2509649542950365,2.0881576017044448,-1
2021-03-26,3.2441644014772524,1.6876707358682959,-1
2021-03-29,3.2622789428252066,1.8788546314182613,-1
2021-03-30,3.2665964060567245,1.7453505610754279,-1
2021-03-31,3.2709975815730647,1.6713870367666763,-1
2021-04-01,3.2561437416295016,1.2442844984038108,-1
2021-04-05,3.264917988487719,1.3204407891041403,-1
2021-04-06,3.2621523922323528,1.152867722126783,-1
2021-04-07,3.2604551158525887,1.0285774321830443,-1
2021-04-08,3.264665618736982,1.0323428146566418,-1
2021-04-09,3.2736010332541463,1.1368776611125875,-1
2021-04-12,3.278007396517974,1.1629737482111846,-1
2021-04-13,3.274098945588187,1.0031892958327389,-1
2021-04-14,3.275583236860885,1.0114117002715606,-1
2021-04-15,3.289268037506643,1.3891141234093158,-1
2021-04-16,3.295961242244731,1.5130549805731635,-1
2021-04-19,3.2971578422161985,1.445195363620798,-1
2021-04-20,3.330497475733412,2.407701014695008,-1
2021-04-21,3.314946550770102,1.71826022964302,-1
2021-04-22,3.319168077947608,1.7131367657569758,-1
2021-04-23,3.3169825110258095,1.5423163858772462,-1
2021-04-26,3.307224127425604,1.1107679529055714,-1
2021-04-27,3.2940066468399563,0.5281314514565087,-1
2021-04-28,3.272976394954783,-0.3994583039442802,0
2021-04-29,3.2870881551017437,0.13674245575944607,0
2021-04-30,3.3099938380140346,1.0917381227533602,0
2021-05-03,3.303362626614849,0.7193222538062295,0
2021-05-04,3.2990761586817916,0.46919610026384706,0
2021-05-05,3.279862282980778,-0.5008315029779047,0
2021-05-06,3.284851477776673,-0.30882474069645044,0
2021-05-07,3.276996447075293,-0.7718071368204735,0
2021-05-10,3.28118124517437,-0.6343992978858828,0
2021-05-11,3.269857661010918,-1.3090552743098482,0
2021-05-12,3.247634284596835,-2.2577525687991677,1
2021-05-13,3.2651427651493714,-1.2902917850418298,1
2021-05-14,3.255952555076536,-1.6262582709880657,1
2021-05-17,3.2290895211882678,-2.41366105457943,1
2021-05-18,3.2444897461654527,-1.5983757317605143,1
2021-05-19,3.2416814832120875,-1.5282850007717153,1
2021-05-20,3.244566661406256,-1.2936778987183086,1
2021-05-21,3.2490917667674992,-1.0608183152225936,1
2021-05-24,3.247974736010357,-1.0154521931539031,1
2021-05-25,3.253752681039663,-0.7330565314610618,1
2021-05-26,3.253456711455293,-0.6810466377315485,1
2021-05-27,3.2609505417807014,-0.2963495703681143,1
2021-05-28,3.2620732377453914,-0.18950658012690774,1
2021-06-01,3.253732189238627,-0.5372274930336123,1
2021-06-02,3.2615511576553544,-0.1255210191533424,1
2021-06-03,3.267456071767139,0.2764043191911669,1
2021-06-04,3.2613169802489868,0.04975125763394523,1
2021-06-07,3.265948151385442,0.49327409158967694,1
2021-06-08,3.2536781721525556,-0.3217603342905738,1
2021-06-09,3.2595965550907255,0.2329594486053473,1
