Date,Spread,Z_score,Signal
2021-01-04,4.817237618165698,,0
2021-01-05,4.832276428583459,,0
2021-01-06,4.884179672329415,,0
2021-01-07,4.914368193877092,,0
2021-01-08,4.892534998802917,,0
2021-01-11,4.88995045505406,,0
2021-01-12,4.90955357736731,,0
2021-01-13,4.904413322558548,,0
2021-01-14,4.902108072940317,,0
2021-01-15,4.887117032845778,,0
2021-01-19,4.881776736011339,,0
2021-01-20,4.898924378024921,,0
2021-01-21,4.919814498675614,,0
2021-01-22,4.921596920315536,,0
2021-01-25,4.900752841402404,,0
2021-01-26,4.8978488296536415,,0
2021-01-27,4.847141973439098,,0
2021-01-28,4.886659713113603,,0
2021-01-29,4.877758298280459,,0
2021-02-01,4.889137946390154,,0
2021-02-02,4.920724233997154,,0
2021-02-03,4.908345824349896,,0
2021-02-04,4.931161713360998,1.4055882558104027,0
2021-02-05,4.9244325194317415,1.1868260341086296,0
2021-02-08,4.940865621727266,1.9143303836298944,0
2021-02-09,4.937827204432648,1.5792006869044122,0
2021-02-10,4.930516171753457,1.1750503843926228,0
2021-02-11,4.938228011150028,1.375911983069358,0
2021-02-12,4.9308483565686645,0.9698301449857263,0
2021-02-16,4.937867450470991,1.17656853873264,0
2021-02-17,4.918834680797668,0.3636535381201339,0
2021-02-18,4.8833747938972705,-1.039394675701276,0
2021-02-19,4.976503208956027,2.263215291315799,-1
2021-02-22,4.991725635901898,2.338171554970627,-1
2021-02-23,4.988670140269819,1.9365597120804794,-1
2021-02-24,5.006886305360833,2.094654062730627,-1
2021-02-25,5.017082294864215,2.020727154182599,-1
2021-02-26,5.02528736299658,1.9153158307461038,-1
2021-03-01,5.047239927895974,2.0401596110550217,-1
2021-03-02,5.025717247218153,1.516715572399367,-1
2021-03-03,4.999976020579732,0.923546483793308,-1
2021-03-04,4.97732113211846,0.39990722443447846,-1
2021-03-05,5.0044048248333235,0.9039641404205164,-1
2021-03-08,5.015604781652602,1.0553813112026762,-1
2021-03-09,5.01587562247698,0.9769767559422394,-1
2021-03-10,5.033690445720922,1.2547184414053785,-1
2021-03-11,5.044123586101756,1.353211889961604,-1
2021-03-12,5.055676597039892,1.4480117994817299,-1
2021-03-15,5.073992659900911,1.6395405168160495,-1
2021-03-16,5.07602914507474,1.5236566010382278,-1
2021-03-17,5.09039677532695,1.6266897145262018,-1
2021-03-18,5.10229045273241,1.6791330873808847,-1
2021-03-19,5.082360493038462,1.202195446044185,-1
2021-03-22,5.082044239649931,1.1328861771008578,-1
2021-03-23,5.045858568373697,0.3198122437077216,-1
2021-03-24,5.051340646276882,0.4006507498386229,-1
2021-03-25,5.06810060849071,0.7988244399515912,-1
2021-03-26,5.077552299667116,0.9915457209096583,-1
2021-03-29,5.066963936464151,0.6109604090508541,-1
2021-03-30,5.087956975923253,1.1428293787099824,-1
2021-03-31,5.091620251220215,1.1445402080045652,-1
2021-04-01,5.080662865756938,0.7674668269144029,-1
2021-04-05,5.0910097845295,0.979840103575164,-1
2021-04-06,5.093712227060503,0.9845592192055672,-1
2021-04-07,5.090636129495153,0.8752850491059182,-1
2021-04-08,5.090821502576829,0.8386023339977169,-1
2021-04-09,5.099091302629457,1.1289639410518224,-1
2021-04-12,5.103764351128292,1.3420960188554225,-1
2021-04-13,5.104087961671271,1.3170674181879252,-1
2021-04-14,5.105803004505392,1.3454986694505393,-1
2021-04-15,5.108675793887284,1.404404708695681,-1
2021-04-16,5.1122393364850405,1.4571315260621718,-1
2021-04-19,5.106725831800228,1.0428475665763444,-1
2021-04-20,5.0831775679480415,-0.2805027125560603,0
2021-04-21,5.094903274190471,0.4095637463899293,0
2021-04-22,5.078078606441056,-0.5454577786828344,0
2021-04-23,5.098235872260391,0.5658559310197157,0
2021-04-26,5.108885984443626,1.1576318907710115,0
2021-04-27,5.111273575513468,1.3232759295252199,0
2021-04-28,5.098583337894292,0.297537076539355,0
2021-04-29,5.08671178864991,-0.7426285724806178,0
2021-04-30,5.077770777756982,-1.698396777559368,0
2021-05-03,5.080136422705702,-1.3941560728329399,0
2021-05-04,5.09429962300132,-0.1202003311178391,0
2021-05-05,5.086441135718038,-0.8814879139520365,0
2021-05-06,5.113285705111934,1.463848103259198,0
2021-05-07,5.121423240879185,1.897997316714176,0
2021-05-10,5.113761439906695,1.165204074134053,0
2021-05-11,5.099089097129992,-0.02573133058720496,0
2021-05-12,5.072722997857233,-1.8669464180496724,0
2021-05-13,5.087136697989172,-0.7531054857070321,0
2021-05-14,5.097668348394263,0.02955902397786579,0
2021-05-17,5.091849522649295,-0.3519437172221264,0
2021-05-18,5.060819595397907,-2.2078193301894524,1
2021-05-19,5.034745406929108,-2.9336083251664946,1
2021-05-20,5.026255275489633,-2.6483497232024242,1
2021-05-21,5.038654171608817,-1.8582031495840825,1
2021-05-24,5.035227393131837,-1.7529257435132943,1
2021-05-25,5.0435296404017915,-1.335219841460647,1
2021-05-26,5.032982907499133,-1.5259208769344397,1
2021-05-27,5.04670170945045,-0.9803670927655243,1
2021-05-28,5.04428613511851,-0.9740790934953597,1
2021-06-01,5.046883120311714,-0.812357799504214,1
2021-06-02,5.0233870169216575,-1.444621023617528,1
2021-06-03,5.028744875357508,-1.1663764348285202,1
2021-06-04,5.021514479386549,-1.2673261519213548,1
2021-06-07,5.019429371565433,-1.2132329725526447,1
2021-06-08,5.019132456458809,-1.1171040191229358,1
2021-06-09,4.997486745320769,-1.6064913758233688,1
2021-06-10,4.973748490692766,-2.0954767923864797,1
2021-06-11,4.975997145234435,-1.8758562876837246,1
