pair,base,candidate,beta,adf_stat,pval,crit_1pct,is_stationary,half_life,r2
XOM and KMX,XOM,KMX,-0.7629561923866185,-5.201960685532216,8.711408342344574e-06,-3.437836947046742,True,15.859229991901536,0.03003172165236412
XOM and IVZ,XOM,IVZ,-0.4441826245590046,-4.518924428317724,0.00018172360433359522,-3.437914898140353,True,16.380354110384573,0.03044696548619874
XOM and SWKS,XOM,SWKS,-0.6566641198803667,-3.8576922053227385,0.002369238833709067,-3.437854130362047,True,17.412533332566493,0.02283703361277556
XOM and PYPL,XOM,PYPL,-1.7617210629309725,-4.436861354580815,0.00025528288504712143,-3.437854130362047,True,17.52993406798851,0.024577635339801618
XOM and ATO,XOM,ATO,0.3143744696510802,-4.196161703751749,0.000668827315302451,-3.437836947046742,True,18.171863799140272,0.019748339546118987
XOM and LMT,XOM,LMT,0.3993481050580322,-4.274327538555853,0.0004919491202735787,-3.4378455288562564,True,18.732815909949572,0.019393105473112127
XOM and XYZ,XOM,XYZ,-1.6919071976299436,-4.315867669341472,0.0004169311745956308,-3.4378455288562564,True,18.7790271103105,0.02083873112624479
XOM and BDX,XOM,BDX,0.05728141399866729,-3.9731865233554604,0.0015576090670532926,-3.437836947046742,True,19.273757438743857,0.017741577641422368
XOM and MDT,XOM,MDT,-0.4371430920397968,-4.272893506513854,0.0004947534938502043,-3.4378455288562564,True,19.307924299618158,0.020803497749825706
XOM and FOX,XOM,FOX,-0.1712422795518781,-4.403133365283673,0.00029306538731985204,-3.437836947046742,True,19.65496193882197,0.021701200903179285
XOM and FOXA,XOM,FOXA,-0.14777845852335691,-4.458412989541058,0.00023361295326829897,-3.437836947046742,True,20.052382618448313,0.022237328467889395
XOM and MTCH,XOM,MTCH,-1.806825396343714,-4.236517482589448,0.0005711404995860723,-3.4378455288562564,True,20.418926439650544,0.020563597347778018
XOM and EA,XOM,EA,-0.09351085585548477,-4.085930527740084,0.0010217074590002566,-3.4378455288562564,True,20.525372156290132,0.01594841907183897
XOM and DE,XOM,DE,0.20115455332227425,-4.104817151955131,0.0009509190208973954,-3.437836947046742,True,20.61766429644638,0.018913995461486754
XOM and MHK,XOM,MHK,-0.754632271502554,-4.366978264931075,0.0003394267366089896,-3.437836947046742,True,22.078965186994758,0.021353856368764967
XOM and BBY,XOM,BBY,-0.41343402422550785,-4.033757885667913,0.0012437033357966846,-3.4378455288562564,True,22.145029447040525,0.016448649340932153
XOM and TRMB,XOM,TRMB,-0.5344056028375752,-4.187557362242667,0.0006915942178804337,-3.437836947046742,True,22.193981499738705,0.019669024928410717
XOM and SYY,XOM,SYY,0.02611270226313034,-3.505525378663029,0.007846319371879669,-3.437854130362047,True,22.437935488696528,0.015927940642519123
XOM and SWK,XOM,SWK,-0.9826180528024122,-3.804058279225613,0.0028660653425354563,-3.437854130362047,True,22.533559359798936,0.01978190513740663
XOM and LUV,XOM,LUV,-0.6677826997385423,-4.027523645473579,0.0012730522049056844,-3.437836947046742,True,23.397855396286158,0.018221259311756333
XOM and ABT,XOM,ABT,-0.13629132902335875,-3.8875682544202887,0.002128266891873139,-3.437836947046742,True,23.529418794926368,0.01699804609232436
XOM and DIS,XOM,DIS,-0.7941689633464302,-3.785369851377941,0.0030605979459880457,-3.4378455288562564,True,23.875857508146492,0.015798390432690934
XOM and TROW,XOM,TROW,-0.5801510861557719,-3.4764198834013307,0.008613739314986796,-3.4378713927343156,True,23.90406357588803,0.01939384567882907
XOM and TECH,XOM,TECH,-0.469997874828741,-4.286561814012602,0.0004686262035570444,-3.4378455288562564,True,24.820878369709348,0.020452886457722586
XOM and ZBRA,XOM,ZBRA,-0.825438487585289,-3.629639687692545,0.0052190179574067444,-3.4378627516320006,True,25.274025032440267,0.018769613562434895
XOM and LH,XOM,LH,-0.12384642324080793,-4.2302942851936765,0.0005852734369982594,-3.437836947046742,True,25.602403277715748,0.02006444920022743
XOM and RF,XOM,RF,0.00663365965362156,-3.7902809487140017,0.003008333662074431,-3.437836947046742,True,25.69030317503736,0.01617151709550879
XOM and GNRC,XOM,GNRC,-1.4413994263849366,-3.7489827336526647,0.0034746090846170872,-3.437854130362047,True,26.935410378423228,0.01974317380681867
XOM and KIM,XOM,KIM,0.05721647249573273,-4.1471067937497486,0.0008087259106213617,-3.437836947046742,True,27.160894227562935,0.019298164056505196
XOM and NSC,XOM,NSC,-0.15287623152777235,-3.5282533131943756,0.00729045386072373,-3.437836947046742,True,28.49621665704675,0.014043196461827057
XOM and CRL,XOM,CRL,-0.6233821767834187,-3.7937481540016478,0.0029719311634798587,-3.4378455288562564,True,30.734654388984307,0.016282977164549517
XOM and REG,XOM,REG,0.10543558990818572,-3.6349552301704247,0.005126867540300718,-3.437854130362047,True,31.71524376707402,0.0168081193260603
XOM and FRT,XOM,FRT,-0.038629230007293895,-3.8369148231750283,0.002551423074464442,-3.437836947046742,True,31.94605684831139,0.016565266486459507
